"Story","Title","Result","Date","Stability","Duration (s)"
"Create coperate","Verify displaying the required error message","FAILURE","2020-05-13T13:47:57.267+07:00[Asia/Ho_Chi_Minh]","0.0","14.63"
"Create coperate","Check corperate information after creating successfully","SUCCESS","2020-05-13T13:48:12.321+07:00[Asia/Ho_Chi_Minh]","0.0","26.82"
